PPS | CANDIDATO | JESSICA HELOISE CAMARGO DE LIMA | 20564439000154,278,0.00000000000000000000
PHS | CANDIDATO | GEVANILDO LINO | 20576124000127,535,0.00000000000000000000
PDT | CANDIDATO | IZABELLA VANILDA DE FREITAS | 20574691000144,697,0.00000000000000000000
PSC | CANDIDATO | VIVIAN TEREZINHA MILANI NEIVA DE LIMA RODRIGUES | 20564240000126,271,0.00000000000000000000
PSB | CANDIDATO | VALDIR CARLOS FERNANDES | 20797300000150,1589,0.00000000000000000000
PDT | CANDIDATO | JOSE GIULIANGELI DE CASTRO | 20574670000129,4599,0.00000000000000000000
PSOL | CANDIDATO | NIVIA MARIA ROMERO PIVA | 20559104000148,456,0.00000000000000000000
PSDB | CANDIDATO | MÁRCIA GRACÍLIA RAMOS PEDROSO FATTORI | 20573041000184,709,0.00000000000000000000
PV | CANDIDATO | ANTONIO OSORIO BUENO DOS SANTOS | 20568746000103,5305,0.00000000000000000000
PV | CANDIDATO | CLAUDINO DA SILVA DIAS | 20572402000178,1539,0.00000000000000000000
PSD | CANDIDATO | ADRIANA VILARINHO SALOMÃO COELHO | 20697112000150,1689,0.00000000000000000000
PV | CANDIDATO | PAULO SALAMUNI | 20571967000130,15482,0.00000000000000000000
PRTB | CANDIDATO | JOSÉ LOURENÇO GOUVEIA | 20570245000161,97,0.00000000000000000000
PMDB | CANDIDATO | VERA LUCIA BARTZ | 20572645000106,693,0.00000000000000000000
PSB | CANDIDATO | MARINETE LINO SANTANA | 20574715000165,3723,0.00000000000000000000
DEM | CANDIDATO | PAULO CEZAR DE CRISTO | 20605137000187,1291,0.00000000000000000000
PEN | CANDIDATO | WILSON MARCELINO FILHO | 20581759000112,86,0.00000000000000000000
PMDB | CANDIDATO | JORGE AUGUSTO KRUGER | 20573582000102,1667,0.00000000000000000000
PSC | CANDIDATO | VANIL BARBARINE | 20567811000186,2218,0.00000000000000000000
PV | CANDIDATO | EDNEIA MARIA DA SILVA | 20572115000168,842,0.00000000000000000000
PSDB | CANDIDATO | EDUARDO FRANCISCO COSTA DE OLIVEIRA | 20572086000134,12511,0.00000000000000000000
PT | CANDIDATO | CRISTINA FÉLIX DA SILVA | 20569383000120,941,0.00000000000000000000
PSC | CANDIDATO | PAULO EDUARDO LIMA MARTINS | 20565964000194,63970,0.00000000000000000000
PV | CANDIDATO | MARIA DE FATIMA SADDOCK PEREIRA | 20572290000155,1188,0.00000000000000000000
PROS | CANDIDATO | JOSÉ DE OLIVEIRA REIS NETO | 20576321000146,2459,0.00000000000000000000
PTC | CANDIDATO | MAURO DA CONCEIÇAO | 20582147000144,217,0.00000000000000000000
PSL | CANDIDATO | VALDINEI ACIR DE PAULO | 20572370000100,1813,0.00000000000000000000
PV | CANDIDATO | GILSON SERGIO TESSARO | 20573430000100,747,0.00000000000000000000
PTC | CANDIDATO | JUSSARA JOECKEL | 20581692000116,4752,0.00000000000000000000
PC do B | CANDIDATO | MARIA DO SOCORRO DE LISBOA | 20577788000100,133,0.00000000000000000000
PSB | CANDIDATO | TELMA APARECIDA DOS SANTOS TONI | 20570098000120,595,0.00000000000000000000
PSD | CANDIDATO | RICARDO APARECIDO MAIA KOTSIFAS | 20566585000119,6922,0.00000000000000000000
PMN | CANDIDATO | ARILDO ARRUDA DE OLIVEIRA | 20576106000145,1031,0.00000000000000000000
PV | CANDIDATO | ROSELI RIBEIRO DE SOUZA | 20668600000130,91,0.00000000000000000000
PV | CANDIDATO | HILARIO DA SILVA GOMES | 20570027000127,811,0.00000000000000000000
PMDB | CANDIDATO | SOLANGE SILVA CUNHA | 20572003000107,109,0.00000000000000000000
PSB | CANDIDATO | PAULO RICARDO DA ROCHA | 20574525000148,6246,0.00000000000000000000
PV | CANDIDATO | BRUNA SPAGNOL | 20569861000100,200,0.00000000000000000000
PHS | CANDIDATO | RODRIGO FRANCISCO DOS SANTOS | 20576202000193,431,0.00000000000000000000
PPL | CANDIDATO | RAFAEL FERNANDO ZILLI | 20569472000177,564,0.00000000000000000000
PPS | CANDIDATO | MARCELO BIENTINEZ MIRÓ | 20567457000190,3981,0.00000000000000000000
PSB | CANDIDATO | ALFREDO RICARDO PARODI NETO | 20574593000107,426,0.00000000000000000000
PMDB | CANDIDATO | SONIA MARIA BARBOSA BRAGA | 20571481000100,2154,0.00000000000000000000
PTN | CANDIDATO | GERALDINO BATISTA DO NASCIMENTO | 20604108000109,1541,0.00000000000000000000
PTN | CANDIDATO | MARIA APARECIDA DE BONFIM | 20604082000190,210,0.00000000000000000000
PSDC | CANDIDATO | GILSON CARDOSO FAHUR | 20576683000137,50608,0.00000000000000000000
