PSD | CANDIDATO | FRANCISCO LACERDA BRASILEIRO | 20577729000132,50930,0.00029229874354347448
PTN | CANDIDATO | ALCIONE MENINO DOS SANTOS | 20632459000115,51,0.00011259667682629766
PTN | CANDIDATO | HAROLDO GUARNERI JUNIOR | 20604144000164,6,0.00011259667682629593
PTN | CANDIDATO | SOLANGE DOS SANTOS VIEIRA | 20576792000154,0,0.00011259667682629593
PTN | CANDIDATO | MARGARETH APARECIDA DORANEM | 20604145000109,18,0.00011259667682629246
PTN | CANDIDATO | JOCELIA CLAUDIA GUARNERI | 20604099000148,14,0.00011259667682628899
PSD | CANDIDATO | MARLA APARECIDA TURECK DINIZ | 20578022000140,16395,0.00006368113545131802
PDT | CANDIDATO | JOSE BAKA FILHO | 20573943000110,0,0.00004448596910849260
PSDB | CANDIDATO | CARLOS ALBERTO RICHA | 20572328000190,3301322,0.00001784932215933080
PDT | CANDIDATO | DAVI SCHEIFER | 20572091000147,476,0.00001733986265214232
PDT | CANDIDATO | ANTONIO FERNANDO SCANAVACCA | 20576319000177,35905,0.00000783753708621156
PR | CANDIDATO | FRANCISCO OCTAVIO BECKERT | 20570872000100,18287,0.00000267970313369906
PSDB | CANDIDATO | MAURO RAFAEL MORAES E SILVA | 20570863000101,49925,0.00000117847122974805
PSDB | CANDIDATO | JOSÉ DIRCEU DE MATOS | 20570939000107,4479,0.00000106538499548706
PP | CANDIDATO | NELSON MEURER | 20568839000138,106478,0.00000087079866956802
PDT | CANDIDATO | JOSE EDEGAR PEREIRA | 20576323000135,3598,0.00000084959496877285
PSB | CANDIDATO | JOSÉ GILBERTO DO CARMO ALVES RIBEIRO | 20572131000150,76110,0.00000083470664827279
PROS | CANDIDATO | LEÔNIDAS EDSON KUZMA | 20573425000105,19154,0.00000080334631762146
PSC | CANDIDATO | JOSE ANTONIO CAMARGO | 20566605000151,12688,0.00000077756992988615
PRP | CANDIDATO | MARCIO AURELIO VIEIRA DA COSTA | 20576905000111,4597,0.00000072705159508829
PSDB | CANDIDATO | LUIZ FELIPE GUBERT BRAGA CORTES | 20572404000167,23119,0.00000070613699677813
PSC | CANDIDATO | ANTONIO BENEDITO FENELON | 20566874000118,22929,0.00000068250821354948
PSB | CANDIDATO | LUCIANO DUCCI | 20570697000143,156263,0.00000063559068924776
PSB | CANDIDATO | JOSÉ TIAGO CAMARGO DO AMARAL | 20569621000106,86390,0.00000056593076928554
PSB | CANDIDATO | RUI KIYOSHI HARA | 20571237000130,19039,0.00000052847978339494
PSB | CANDIDATO | ELIZABETH SILVEIRA SCHMIDT | 20574301000136,11488,0.00000051458382519659
PSD | CANDIDATO | EVANDRO ROGÉRIO ROMAN | 20568400000105,92042,0.00000041235128315359
PSB | CANDIDATO | AGNALDO JOSÉ BASTOS JULIO | 20573140000166,10891,0.00000040934686331654
PSC | CANDIDATO | ALEXANDRE MARCEL KUSTER GUIMARÃES | 20568628000103,24357,0.00000037641801598799
PSB | CANDIDATO | ANTONIO GONÇALVES FERREIRA | 20571002000148,4192,0.00000037345212526227
PSDC | CANDIDATO | GILSON CARDOSO FAHUR | 20576683000137,50608,0.00000037076967078498
PPS | CANDIDATO | SANDRO ALEX CRUZ DE OLIVEIRA | 20568081000138,116909,0.00000032168824560044
PSB | CANDIDATO | LEOPOLDO COSTA MEYER | 20574179000106,59974,0.00000031943459206409
PSC | CANDIDATO | LEONALDO PARANHOS DA SILVA | 20572143000185,69684,0.00000031770287508941
PSDB | CANDIDATO | LUIZ ROBERTO ACCORSI MOTTA | 20571299000141,37224,0.00000031362439115688
PSB | CANDIDATO | PAULO RICARDO DA ROCHA | 20574525000148,6246,0.00000031085142081222
PSB | CANDIDATO | RAFAEL FELIPE LUCAS | 20573913000104,11235,0.00000031085142081048
PSD | CANDIDATO | RUBENS RECALCATTI | 20578294000140,40358,0.00000030145793426719
PSC | CANDIDATO | WALDIR TURCHETTI DA COSTA LEITE | 20571912000120,10750,0.00000028938043409102
PSDB | CANDIDATO | ADEMAR LUIZ TRAIANO | 20570653000113,69740,0.00000027954038955141
DEM | CANDIDATO | PLAUTO MIRÓ GUIMARÃES FILHO | 20572133000140,63959,0.00000027034984842532
PSB | CANDIDATO | LUCIANO MARCELO SIMÕES DE BRITO | 20574801000178,7710,0.00000026003594812401
PP | CANDIDATO | CLAYTON COSTA ROSA | 20568744000114,5496,0.00000025627551468064
PSB | CANDIDATO | JOÃO BOSCO DOS SANTOS | 20574012000137,2744,0.00000025524230344576
PHS | CANDIDATO | JULIO CEZAR PACHECO AGNER | 20576581000111,5941,0.00000025391927085516
PSC | CANDIDATO | ANTONIO BORGES DOS REIS | 20566409000187,3260,0.00000024190315802645
PMN | CANDIDATO | MANOEL BATISTA DA SILVA JUNIOR | 20573211000120,62707,0.00000024057037582110
PSB | CANDIDATO | SANDRO ANTONIO OLTRAMARI | 20573099000128,569,0.00000023603975268793
