PV | CANDIDATO | HELIA SANTOS DE OLIVEIRA | 20571731000102,300,0.00000000000000000000
PT | CANDIDATO | ALECSANDRO DE ANDRADE CAVALCANTE | 20576080000135,0,0.00000000000000000000
PSDC | CANDIDATO | NERY BRAZ | 20622927000170,95,0.00000000000000000000
PV | CANDIDATO | LUIZ GONZAGA CAETANO MONEZI | 20568976000172,349,0.00000000000000000000
PTB | CANDIDATO | SAMIR FOUANI | 20577007000188,1941,0.00000000000000000000
PSL | CANDIDATO | MARIO RENE DE VARGAS GARCIA | 20572305000185,204,0.00000000000000000000
PRB | CANDIDATO | DANIEL JOSE DIAS AUER | 20576089000146,508,0.00000000000000000000
PCB | CANDIDATO | KARIN COMERLATTO DA ROSA | 20569484000100,1550,0.00000000000000000000
PV | CANDIDATO | IVAN CARLOS DOS SANTOS | 20568824000170,200,0.00000000000000000000
PSDB | CANDIDATO | LIZMARI VIEIRA DO PRADO FONTANA | 20572511000195,3151,0.00000000000000000000
PV | CANDIDATO | LINDSLEY DA SILVA RASCA RODRIGUES | 20571473000156,23815,0.00000000000000000000
PSB | CANDIDATO | SÉRGIO FANUCCHI | 20574361000159,2170,0.00000000000000000000
PTN | CANDIDATO | ANDREIA CRISTINA DA SILVA ALVES | 20576166000168,148,0.00000000000000000000
PPS | CANDIDATO | NELSON LOPES DE FREITAS | 20571479000123,1335,0.00000000000000000000
PSC | CANDIDATO | DEVANIL REGINALDO DA SILVA | 20564046000140,29097,0.00000000000000000000
PHS | CANDIDATO | EVANGELISTA PEREIRA DA SILVA | 20576907000100,12935,0.00000000000000000000
PV | CANDIDATO | ONORIO CESAR DE FREITAS | 20569041000100,482,0.00000000000000000000
PDT | CANDIDATO | CARLOS CESAR MARTINS | 20576855000172,1779,0.00000000000000000000
PEN | CANDIDATO | ADAIR FERREIRA DE ALMEIDA | 20576271000105,389,0.00000000000000000000
PR | CANDIDATO | ANTONIO SERGIO CAMPANHA RIBEIRO | 20572966000100,2975,0.00000000000000000000
PSDC | CANDIDATO | AMAURI DE JESUS PEREIRA | 20576689000104,3581,0.00000000000000000000
PSDB | CANDIDATO | FRANCISCO PUTON | 20570740000170,14400,0.00000000000000000000
PP | CANDIDATO | MARCO ANTONIO ANDREOTTI | 20572363000109,2784,0.00000000000000000000
PSD | CANDIDATO | LAERCIO SILVA DE SOUZA | 20579179000190,1533,0.00000000000000000000
PV | CANDIDATO | DOURIVAL BRAZ SIMÕES | 20571308000102,878,0.00000000000000000000
PRTB | CANDIDATO | ALGACIR MILTON OZIR RIBEIRO | 20573092000106,299,0.00000000000000000000
PC do B | CANDIDATO | ANTONIO LUIZ MARTINS DOS REIS | 20576631000160,3671,0.00000000000000000000
PHS | CANDIDATO | FABIO ALEXANDRE PEREIRA | 20576121000193,341,0.00000000000000000000
PT | CANDIDATO | JOSÉ EGIDIO RODRIGUES | 20576541000170,304,0.00000000000000000000
PPL | CANDIDATO | HUGO JOSE LANDGRAF JUNIOR | 20573252000117,368,0.00000000000000000000
PR | CANDIDATO | WALMOR FRANCISCO LODI | 20570476000175,2993,0.00000000000000000000
PPS | CANDIDATO | SONIA BRUSCH | 20572118000100,1933,0.00000000000000000000
PT | CANDIDATO | LUCIANA GUZELLA RAFAGNIN | 20576746000155,27950,0.00000000000000000000
PR | CANDIDATO | FRANCISCO OCTAVIO BECKERT | 20570872000100,18287,0.00000000000000000000
PSDB | CANDIDATO | PEDRO MARIA MARTENDAL DE ARAUJO | 20570725000122,6224,0.00000000000000000000
PSC | CANDIDATO | ALTAMIR SANSON | 20566914000121,13576,0.00000000000000000000
PSL | CANDIDATO | IVAN CARLOS DE MORAES | 20572056000128,1748,0.00000000000000000000
PSC | CANDIDATO | JOÃO IVO CALEFFI | 20571692000135,3441,0.00000000000000000000
PSC | CANDIDATO | NEUZA APARECIDA DA SILVA | 20571829000151,10,0.00000000000000000000
PTC | CANDIDATO | ADRIANO FERREIRA PEDROSO | 20581248000109,382,0.00000000000000000000
PV | CANDIDATO | MARCELO ELIAS ROQUE | 20573405000126,18273,0.00000000000000000000
